CustomerKey	FirstName	LastName	MaritalStatus	Gender	EnglishEducation	EnglishCountryRegionName
11000	Jon	Yang	M	M	Bachelors	Australia
11001	Eugene	Huang	S	M	Bachelors	Australia
11002	Ruben	Torres	M	M	Bachelors	Australia
11003	Christy	Zhu	S	F	Bachelors	Australia
11004	Elizabeth	Johnson	S	F	Bachelors	Australia
11005	Julio	Ruiz	S	M	Bachelors	Australia
11006	Janet	Alvarez	S	F	Bachelors	Australia
11007	Marco	Mehta	M	M	Bachelors	Australia
11008	Rob	Verhoff	S	F	Bachelors	Australia
11009	Shannon	Carlson	S	M	Bachelors	Australia
11010	Jacquelyn	Suarez	S	F	Bachelors	Australia
11011	Curtis	Lu	M	M	Bachelors	Australia
11012	Lauren	Walker	M	F	Bachelors	United States
11013	Ian	Jenkins	M	M	Bachelors	United States
11014	Sydney	Bennett	S	F	Bachelors	United States
11015	Chloe	Young	S	F	Partial College	United States
11016	Wyatt	Hill	M	M	Partial College	United States
11017	Shannon	Wang	S	F	High School	Australia
11018	Clarence	Rai	S	M	Partial College	Australia
11019	Luke	Lal	S	M	High School	Canada
11020	Jordan	King	S	M	High School	Canada
11021	Destiny	Wilson	S	F	Partial College	United States
11022	Ethan	Zhang	M	M	Partial College	United States
11023	Seth	Edwards	M	M	Partial College	United States
11024	Russell	Xie	M	M	Partial College	United States
11025	Alejandro	Beck	M	M	Partial High School	Australia
11026	Harold	Sai	S	M	Partial College	Australia
11027	Jessie	Zhao	M	M	Partial College	Australia
11028	Jill	Jimenez	M	F	Partial College	Australia
11029	Jimmy	Moreno	M	M	Partial College	Australia
11030	Bethany	Yuan	M	F	Partial High School	Australia
11031	Theresa	Ramos	M	F	High School	Australia
11032	Denise	Stone	M	F	High School	Australia
11033	Jaime	Nath	M	M	High School	Australia
11034	Ebony	Gonzalez	M	F	High School	Australia
11035	Wendy	Dominguez	M	F	Partial High School	Australia
11036	Jennifer	Russell	M	F	Partial College	United States
11037	Chloe	Garcia	S	F	Partial High School	Canada
11038	Diana	Hernandez	M	F	Partial High School	Australia
11039	Marc	Martin	M	M	Partial College	Australia
11040	Jesse	Murphy	M	M	Partial College	United States
11041	Amanda	Carter	M	F	Partial College	United States
11042	Megan	Sanchez	M	F	Partial College	United States
11043	Nathan	Simmons	M	M	Partial College	United States
11044	Adam	Flores	M	M	Partial High School	Australia
11045	Leonard	Nara	S	M	High School	Australia
11046	Christine	Yuan	M	F	High School	Australia
11047	Jaclyn	Lu	M	F	High School	Australia
11048	Jeremy	Powell	M	M	High School	Australia
11049	Carol	Rai	S	F	Partial High School	United States
11050	Alan	Zheng	M	M	High School	Australia
11051	Daniel	Johnson	S	M	High School	Australia
11052	Heidi	Lopez	S	F	Partial College	Australia
11053	Ana	Price	M	F	Partial College	United States
11054	Deanna	Munoz	M	F	Partial College	Australia
11055	Gilbert	Raje	M	M	Partial College	Australia
11056	Michele	Nath	M	F	Partial College	Australia
11057	Carl	Andersen	M	M	Graduate Degree	Australia
11058	Marc	Diaz	M	M	Partial College	Australia
11059	Ashlee	Andersen	S	F	Partial College	Australia
11060	Jon	Zhou	M	M	Partial College	Australia
11061	Todd	Gao	M	M	Partial College	Australia
11062	Noah	Powell	M	M	High School	United States
11063	Angela	Murphy	S	F	High School	United States
11064	Chase	Reed	M	M	High School	United States
